energy/MeV	骨	肌肉	软组织	水
0.01	131.11	35.7	32.56	35.31
0.015	149.22	35.7	32.13	34.88
0.02	157.75	36.62	31.82	34.57
0.03	164.34	35.58	31.67	34.26
0.04	156.2	35.74	32.05	34.38
0.05	136.43	36.01	32.91	34.88
0.06	112.4	36.32	33.99	35.5
0.08	75.19	36.78	35.58	36.51
0.1	56.2	37.05	36.43	37.05
0.15	41.09	37.21	37.05	37.48
0.2	37.91	37.25	37.17	37.56
0.3	36.47	37.29	37.25	37.6
0.4	36.16	37.29	37.25	37.64
0.5	36.05	37.29	37.29	37.64
0.6	35.97	37.29	37.29	37.64
0.8	35.93	37.29	37.29	37.64
1	35.93	37.29	37.29	37.64
1.5	35.93	37.29	37.29	37.64
2	35.93	37.29	37.25	37.64
3	36.09	37.17	37.13	37.52
4	36.32	37.05	37.02	37.4
5	36.51	36.9	36.86	37.44
6	36.71	36.74	36.71	37.13
8	37.09	36.47	36.43	36.86
10	37.4	36.24	36.16	36.63
